CAS Number , Chemical Name,Chemical Grade,Chemical Analysis Method, Chemical Purity Mean Op , Chemical Purity Mean(%) , Chemical Purity Min Op , Chemical Purity Min(%) , Chemical Purity Max Op , Chemical Purity Max(%),Species Scientific Name , Species Common Name,Species Group,Organism Lifestage, Organism Age Mean Op , Organism Age Mean , Organism Age Min Op , Organism Age Min , Organism Age Max Op , Organism Age Max , Organism Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Author) , Conc 1 Mean Op (Author) , Conc 1 Mean (Author) , Conc 1 Min Op (Author) , Conc Min 1 (Author) , Conc 1 Max Op (Author) , Conc 1 Max (Author) , Conc 1 Units (Author) , Conc 2 Type (Author) , Conc 2 Mean Op (Author) , Conc 2 Mean (Author) , Conc 2 Min Op (Author) , Conc Min 2 (Author) , Conc 2 Max Op (Author) , Conc 2 Max (Author) , Conc 2 Units (Author) , Conc 3 Type (Author) , Conc 3 Mean Op (Author) , Conc 3 Mean (Author) , Conc 3 Min Op (Author) , Conc Min 3 (Author) , Conc 3 Max Op (Author) , Conc 3 Max (Author) , Conc 3 Units (Author),Effect,Effect Measurement,Endpoint , Observed Response Mean Op , Observed Response Mean , Observed Response Min Op , Observed Response Min , Observed Response Max Op , Observed Response Max , Result Statistical Method , Observed Response Value , Observed Response Units,Response Site,Observed Duration Op (Days) , Observed Duration (Days) , Observed Duration Min Op (Days) , Observed Duration Min (Days) , Observed Duration Max Op (Days) , Observed Duration Max (Days) , Observed Duration Units (Days),Author , Reference Number , Title , Source , Publication Year
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,4,,NR,,NR,Day(s),"Topical, general",No substrate,Lab,2,Formulation,,2.41,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,2.41,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,8,,NR,,NR,Day(s),"Topical, general",No substrate,Lab,2,Formulation,,1.55,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,1.55,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,1.82,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,1.82,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,9.6,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,9.6,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,1.2,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,1.2,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,2.05,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,2.05,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,1.5,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,1.5,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,2.5,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,2.5,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,67,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,67,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,6,,NR,,NR,Day(s),"Topical, general",No substrate,Lab,2,Formulation,,2.97,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,2.97,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,2,,NR,,NR,Day(s),"Topical, general",No substrate,Lab,2,Formulation,,0.54,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,0.54,,NR,,NR,,,ug/org,Not reported,,2,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,1.6,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,1.6,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,1.49,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,1.49,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,6,,NR,,NR,Day(s),"Topical, general",No substrate,Lab,2,Formulation,,2.904,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,2.904,,NR,,NR,,,ug/org,Not reported,,2,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,2.23,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,2.23,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,10.04,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,10.04,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Multiple,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,3.1,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,3.1,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,18,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,18,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,1.1,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,1.1,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,6.5,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,6.5,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,1.31,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,1.31,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,1.54,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,1.54,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,70.5,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,70.5,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,3.47,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,3.47,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,6.3,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,6.3,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,2.4,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,2.4,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,2.75,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,2.75,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,8,,NR,,NR,Day(s),"Topical, general",No substrate,Lab,2,Formulation,,1.25,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,1.25,,NR,,NR,,,ug/org,Not reported,,2,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,2.42,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,2.42,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,,NR,,NR,,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,,NR,,NR,,NR,Not reported,"Topical, general",No substrate,Lab,2,Formulation,,2.4,,NR,,NR,ug/org,,,,,,,,,,,,,,,,,Mortality,Mortality,LD50,,2.4,,NR,,NR,,,ug/org,Not reported,,1,,NR,,NR,Day(s),"Graves,J.B., and O. Mackensen",101387,Topical Application and Insecticide Resistance Studies on the Honey Bee,J. Econ. Entomol.58(5): 990-993,1965
