"","Type","Mix.type","Mix.type.OD","Solo.matchings","nAI.ED_NO","PLT_S_DART","PLT_S_DART.1","CLASSIFICATION","Type.mixture","AI_1.PLT_S_DART","AI_1.ED_NO","AI_2.PLT_S_DART","AI_2.PLT_S_DART.1","AI_2.ED_NO","AI_3.PLT_S_DART","AI_3.ED_NO","AI_4.PLT_S_DART","AI_4.ED_NO","variable","quotient","Exposure.Type","Time","Beta-cyfluthrin","Bifenthrin","Clothianidin","Deltamethrin","Endosulfan","Ethiprole","Etofenprox","Fenpropidin","Fipronil","Fluoxastrobin","Flupyradifurone","Imidacloprid","Isoflucypram","Lambda-cyhalothrin","Methamidophos","Methiocarb","Prothioconazole","Prochloraz","Spiromesifen","Spirotetramat","Spiroxamine","Tebuconazole","Tetraniliprole","Thiacloprid","Thiodicarb","Transfluthrin","Triadimenol","Alpha-cypermethrin","combo.name","N.combo","combo.S.name","3A","4A","2A","2B","G2","C3","4D","C2","1B","1A","G1","23","28","MoA.class.name","N.MoA.class","vsSCh","nAChR receptor agonist","GABA-A receptor","SBI: sterol biosynthesis","respiration (CIII, o-site)","respiration: SDH","AChE","DMI","ACCase inhibitor (I)","ryanodine receptor modulator","Label.class.name","N.Label.class","INS","FUN","combo.Type.name","N.combo.Type","log10Q"
"2680","Insecticide + Insecticide","OD (20+150)",TRUE,"EC25 + OD180","M-088149-01-1","DLT+TCP ","DLT+TCP","2",NA,"deltamethrin EC 25","M-555661-01-1","thiacloprid OD 180 G","thiacloprid OD 180 G","M-272691-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.24",3.63,"oral","24",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Deltamethrin + Thiacloprid",2,"DLT + TCP",1,1,0,0,0,0,0,0,0,0,0,0,0,"3A + 4A",2,1,1,0,0,0,0,0,0,0,0,"vsSCh + nAChR receptor agonist",2,1,0,"INS + INS",1,0.559906625036112
"2725","Insecticide + Fungicide","OD 240 & EC (15+125)",TRUE,"OD240 & EC250 + EW250","M-105306-01-1","TCP & PTZ+TBZ ","TCP&PTZ+TBZ","2","Tank mix","thiacloprid OD 240 G","M-103506-01-1","prothioconazole EC 250 G","prothioconazole EC 250 G","M-182441-01-1","tebuconazole EW 250 G","M-182469-01-1",NA,NA,"Ratio.LD50.oral.24",3.6,"oral","24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,"Prothioconazole + Tebuconazole + Thiacloprid",3,"PTZ + TBZ + TCP",0,1,0,0,0,0,0,0,0,0,1,0,0,"4A + G1",2,0,1,0,0,0,0,0,1,0,0,"nAChR receptor agonist + DMI",2,1,1,"INS + FUN",2,0.556302500767287
"2801","Insecticide + Fungicide","OD 240 & EC (15+125)",TRUE,"OD240 & EC250 + EW250","M-105306-01-1","TCP & PTZ+TBZ ","TCP&PTZ+TBZ","2","Tank mix","thiacloprid OD 240 G","M-103506-01-1","prothioconazole EC 250 G","prothioconazole EC 250 G","M-182441-01-1","tebuconazole EW 250 G","M-182469-01-1",NA,NA,"Ratio.LD50.oral.48",3.6,"oral","48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,"Prothioconazole + Tebuconazole + Thiacloprid",3,"PTZ + TBZ + TCP",0,1,0,0,0,0,0,0,0,0,1,0,0,"4A + G1",2,0,1,0,0,0,0,0,1,0,0,"nAChR receptor agonist + DMI",2,1,1,"INS + FUN",2,0.556302500767287
"2728","Insecticide + Fungicide","EC 250 & EC 30",FALSE,"EC250 & EC30","M-360053-01-1","PTZ & Etofenprox ","PTZ&ETF","1","Tank mix","prothioconazole EC 250 G","M-182441-01-1","Etofen 30 EC","Etofen 30 EC","M-359277-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.24",3.41,"oral","24",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Etofenprox + Prothioconazole",2,"ETF + PTZ",1,0,0,0,0,0,0,0,0,0,1,0,0,"3A + G1",2,1,0,0,0,0,0,0,1,0,0,"vsSCh + DMI",2,1,1,"INS + FUN",2,0.532754378992498
"2726","Insecticide + Fungicide","EW 250 & OD (10+100)",TRUE,"EW250 & EC25 + OD180","M-103541-01-1","TBZ & DLT+TCP ","TBZ&DLT+TCP","2","Tank mix","tebuconazole EW 250 G ","M-182469-01-1","deltamethrin EC 25 G","deltamethrin EC 25 G","M-555661-01-1","thiacloprid OD 180 G","M-272691-01-1",NA,NA,"Ratio.LD50.oral.24",3.32,"oral","24",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Deltamethrin + Tebuconazole + Thiacloprid",3,"DLT + TBZ + TCP",1,1,0,0,0,0,0,0,0,0,1,0,0,"3A + 4A + G1",3,1,1,0,0,0,0,0,1,0,0,"vsSCh + nAChR receptor agonist + DMI",3,1,1,"INS + FUN",2,0.521138083704036
"2697","Insecticide + Insecticide","FS (100+80)",FALSE,"FS250 + TGAI","M-388700-01-1","CTD+CYB","CTD+CYB","3",NA,"clothianidin FS 250 G","M-359875-01-1","beta-cyfluthrin TC","beta-cyfluthrin TC","M-053813-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.24",3.29,"oral","24",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Beta-cyfluthrin + Clothianidin",2,"CYB + CTD",1,1,0,0,0,0,0,0,0,0,0,0,0,"3A + 4A",2,1,1,0,0,0,0,0,0,0,0,"vsSCh + nAChR receptor agonist",2,1,0,"INS + INS",1,0.517195897949974
"2773","Insecticide + Insecticide","FS (100+80)",FALSE,"FS250 + TGAI","M-388700-01-1","CTD+CYB","CTD+CYB","3",NA,"clothianidin FS 250 G","M-359875-01-1","beta-cyfluthrin TC","beta-cyfluthrin TC","M-053813-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.48",3.29,"oral","48",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Beta-cyfluthrin + Clothianidin",2,"CYB + CTD",1,1,0,0,0,0,0,0,0,0,0,0,0,"3A + 4A",2,1,1,0,0,0,0,0,0,0,0,"vsSCh + nAChR receptor agonist",2,1,0,"INS + INS",1,0.517195897949974
"2804","Insecticide + Fungicide","EC 250 & EC 30",FALSE,"EC250 & EC30","M-360053-01-1","PTZ & Etofenprox ","PTZ&ETF","1","Tank mix","prothioconazole EC 250 G","M-182441-01-1","Etofen 30 EC","Etofen 30 EC","M-359277-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.48",3.28,"oral","48",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Etofenprox + Prothioconazole",2,"ETF + PTZ",1,0,0,0,0,0,0,0,0,0,1,0,0,"3A + G1",2,1,0,0,0,0,0,0,1,0,0,"vsSCh + DMI",2,1,1,"INS + FUN",2,0.515873843711679
"2802","Insecticide + Fungicide","EW 250 & OD (10+100)",TRUE,"EW250 & EC25 + OD180","M-103541-01-1","TBZ & DLT+TCP ","TBZ&DLT+TCP","2","Tank mix","tebuconazole EW 250 G ","M-182469-01-1","deltamethrin EC 25 G","deltamethrin EC 25 G","M-555661-01-1","thiacloprid OD 180 G","M-272691-01-1",NA,NA,"Ratio.LD50.oral.48",3.22,"oral","48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Deltamethrin + Tebuconazole + Thiacloprid",3,"DLT + TBZ + TCP",1,1,0,0,0,0,0,0,0,0,1,0,0,"3A + 4A + G1",3,1,1,0,0,0,0,0,1,0,0,"vsSCh + nAChR receptor agonist + DMI",3,1,1,"INS + FUN",2,0.507855871695831
"2775","Insecticide + Insecticide","SC (240+120)",FALSE,"SC48 + SC200","M-687218-01-1","SPT+TTP ","SPT+TTP","1",NA,"Spirotetramat SC 48 ","M-281729-01-1","Tetraniliprole SC 200","Tetraniliprole SC 200","M-438810-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.48",3.09,"oral","48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Spirotetramat + Tetraniliprole",2,"SPT + TTP",0,0,0,0,0,0,0,0,0,0,0,1,1,"23 + 28",2,0,0,0,0,0,0,0,0,1,1,"ACCase inhibitor (I) + ryanodine receptor modulator",2,1,0,"INS + INS",1,0.489958479424835
"2756","Insecticide + Insecticide","OD (20+150)",TRUE,"EC25 + OD180","M-088149-01-1","DLT+TCP ","DLT+TCP","2",NA,"deltamethrin EC 25","M-555661-01-1","thiacloprid OD 180 G","thiacloprid OD 180 G","M-272691-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.48",3.06,"oral","48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Deltamethrin + Thiacloprid",2,"DLT + TCP",1,1,0,0,0,0,0,0,0,0,0,0,0,"3A + 4A",2,1,1,0,0,0,0,0,0,0,0,"vsSCh + nAChR receptor agonist",2,1,0,"INS + INS",1,0.48572142648158
"1661","Insecticide + Fungicide","OD 240 & EC (15+125)",TRUE,"OD240 & EC250 + EW250","M-105306-01-1","TCP & PTZ+TBZ ","TCP&PTZ+TBZ","2","Tank mix","thiacloprid OD 240 G","M-103506-01-1","prothioconazole EC 250 G","prothioconazole EC 250 G","M-182441-01-1","tebuconazole EW 250 G","M-182469-01-1",NA,NA,"Ratio.LD50.cont.24",3.03,"cont","24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,"Prothioconazole + Tebuconazole + Thiacloprid",3,"PTZ + TBZ + TCP",0,1,0,0,0,0,0,0,0,0,1,0,0,"4A + G1",2,0,1,0,0,0,0,0,1,0,0,"nAChR receptor agonist + DMI",2,1,1,"INS + FUN",2,0.481442628502305
"1737","Insecticide + Fungicide","OD 240 & EC (15+125)",TRUE,"OD240 & EC250 + EW250","M-105306-01-1","TCP & PTZ+TBZ ","TCP&PTZ+TBZ","2","Tank mix","thiacloprid OD 240 G","M-103506-01-1","prothioconazole EC 250 G","prothioconazole EC 250 G","M-182441-01-1","tebuconazole EW 250 G","M-182469-01-1",NA,NA,"Ratio.LD50.cont.48",2.94,"cont","48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,"Prothioconazole + Tebuconazole + Thiacloprid",3,"PTZ + TBZ + TCP",0,1,0,0,0,0,0,0,0,0,1,0,0,"4A + G1",2,0,1,0,0,0,0,0,1,0,0,"nAChR receptor agonist + DMI",2,1,1,"INS + FUN",2,0.468347330412157
"2678","Insecticide + Insecticide","OD (10+100)",TRUE,"EC25 + OD180","M-103520-01-1","DLT+TCP ","DLT+TCP","2",NA,"deltamethrin EC 25 G","M-555661-01-1","thiacloprid OD 180 G","thiacloprid OD 180 G","M-272691-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.24",2.57,"oral","24",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Deltamethrin + Thiacloprid",2,"DLT + TCP",1,1,0,0,0,0,0,0,0,0,0,0,0,"3A + 4A",2,1,1,0,0,0,0,0,0,0,0,"vsSCh + nAChR receptor agonist",2,1,0,"INS + INS",1,0.409933123331295
"2754","Insecticide + Insecticide","OD (10+100)",TRUE,"EC25 + OD180","M-103520-01-1","DLT+TCP ","DLT+TCP","2",NA,"deltamethrin EC 25 G","M-555661-01-1","thiacloprid OD 180 G","thiacloprid OD 180 G","M-272691-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.48",2.48,"oral","48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Deltamethrin + Thiacloprid",2,"DLT + TCP",1,1,0,0,0,0,0,0,0,0,0,0,0,"3A + 4A",2,1,1,0,0,0,0,0,0,0,0,"vsSCh + nAChR receptor agonist",2,1,0,"INS + INS",1,0.394451680826216
"2730","Insecticide + Fungicide","EW 250 & OD 240",TRUE,"EW250 & OD240","M-103547-01-1","TBZ & TCP ","TBZ&TCP","1","Tank mix","tebuconazole EW 250 G ","M-182469-01-1","thiacloprid OD 240 G","thiacloprid OD 240 G","M-103506-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.24",2.46,"oral","24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Tebuconazole + Thiacloprid",2,"TBZ + TCP",0,1,0,0,0,0,0,0,0,0,1,0,0,"4A + G1",2,0,1,0,0,0,0,0,1,0,0,"nAChR receptor agonist + DMI",2,1,1,"INS + FUN",2,0.390935107103379
"1746","insecticide + fungicide","FS (250+50)",FALSE,"FS250 + FS25","M-501142-01-1","CTD+PTZ ","CTD+PTZ","1",NA,"Clothianidin FS 250","M-359875-01-1","Prothioconazole FS 25","Prothioconazole FS 25","M-610383-01-1",NA,NA,NA,NA,"Ratio.LD50.cont.48",2.45,"cont","48",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Clothianidin + Prothioconazole",2,"CTD + PTZ",0,1,0,0,0,0,0,0,0,0,1,0,0,"4A + G1",2,0,1,0,0,0,0,0,1,0,0,"nAChR receptor agonist + DMI",2,1,1,"INS + FUN",2,0.389166084364532
"1670","insecticide + fungicide","FS (250+50)",FALSE,"FS250 + FS25","M-501142-01-1","CTD+PTZ ","CTD+PTZ","1",NA,"Clothianidin FS 250","M-359875-01-1","Prothioconazole FS 25","Prothioconazole FS 25","M-610383-01-1",NA,NA,NA,NA,"Ratio.LD50.cont.24",2.32,"cont","24",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Clothianidin + Prothioconazole",2,"CTD + PTZ",0,1,0,0,0,0,0,0,0,0,1,0,0,"4A + G1",2,0,1,0,0,0,0,0,1,0,0,"nAChR receptor agonist + DMI",2,1,1,"INS + FUN",2,0.3654879848909
"2727","Insecticide + Fungicide","EC (125+125) & OD (10+100)",TRUE,"EC250 + EW250 & EC25 + OD180","M-103526-01-1","PTZ+TBZ & DLT+TCP ","PTZ+TBZ&DLT+TCP","2","Tank mix","thiacloprid OD 180 G","M-272691-01-1","deltamethrin EC 25 G","deltamethrin EC 25 G","M-555661-01-1","prothioconazole EC 250 G","M-182441-01-1","tebuconazole EW 250 G","M-182469-01-1","Ratio.LD50.oral.24",2.32,"oral","24",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,"Deltamethrin + Prothioconazole + Tebuconazole + Thiacloprid",4,"DLT + PTZ + TBZ + TCP",1,1,0,0,0,0,0,0,0,0,1,0,0,"3A + 4A + G1",3,1,1,0,0,0,0,0,1,0,0,"vsSCh + nAChR receptor agonist + DMI",3,1,1,"INS + FUN",2,0.3654879848909
"1702","Insecticide + Insecticide","FS (111+160)",FALSE,"FS250 + FS500","M-355376-01-1","CTD+MTC ","CTD+MTC","1",NA,"clothianidin FS 250 G","M-359875-01-1","methiocarb FS 500 G","methiocarb FS 500 G","M-357085-01-1",NA,NA,NA,NA,"Ratio.LD50.cont.48",2.28,"cont","48",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Clothianidin + Methiocarb",2,"CTD + MTC",0,1,0,0,0,0,0,0,0,1,0,0,0,"4A + 1A",2,0,1,0,0,0,0,1,0,0,0,"nAChR receptor agonist + AChE",2,1,0,"INS + INS",1,0.357934847000454
"1694","Insecticide + Insecticide","WG (23+46)",FALSE,"WG70 + SC380","M-368236-01-1","IMD+TDC ","IMD+TDC","2",NA,"imidacloprid WG 70 G","M-565548-02-1","thiodicarb SC 380 G","thiodicarb SC 380 G","M-208946-01-1 + M-208947-01-1",NA,NA,NA,NA,"Ratio.LD50.cont.48",2.25,"cont","48",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Imidacloprid + Thiodicarb",2,"IMD + TDC",0,1,0,0,0,0,0,0,0,1,0,0,0,"4A + 1A",2,0,1,0,0,0,0,1,0,0,0,"nAChR receptor agonist + AChE",2,1,0,"INS + INS",1,0.352182518111362
"2806","Insecticide + Fungicide","EW 250 & OD 240",TRUE,"EW250 & OD240","M-103547-01-1","TBZ & TCP ","TBZ&TCP","1","Tank mix","tebuconazole EW 250 G ","M-182469-01-1","thiacloprid OD 240 G","thiacloprid OD 240 G","M-103506-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.48",2.25,"oral","48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Tebuconazole + Thiacloprid",2,"TBZ + TCP",0,1,0,0,0,0,0,0,0,0,1,0,0,"4A + G1",2,0,1,0,0,0,0,0,1,0,0,"nAChR receptor agonist + DMI",2,1,1,"INS + FUN",2,0.352182518111362
"2803","Insecticide + Fungicide","EC (125+125) & OD (10+100)",TRUE,"EC250 + EW250 & EC25 + OD180","M-103526-01-1","PTZ+TBZ & DLT+TCP ","PTZ+TBZ&DLT+TCP","2","Tank mix","thiacloprid OD 180 G","M-272691-01-1","deltamethrin EC 25 G","deltamethrin EC 25 G","M-555661-01-1","prothioconazole EC 250 G","M-182441-01-1","tebuconazole EW 250 G","M-182469-01-1","Ratio.LD50.oral.48",2.22,"oral","48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,"Deltamethrin + Prothioconazole + Tebuconazole + Thiacloprid",4,"DLT + PTZ + TBZ + TCP",1,1,0,0,0,0,0,0,0,0,1,0,0,"3A + 4A + G1",3,1,1,0,0,0,0,0,1,0,0,"vsSCh + nAChR receptor agonist + DMI",3,1,1,"INS + FUN",2,0.346352974450639
"1649","Insecticide + Insecticide","SC (60+90)",FALSE,"SC100 + SC200","M-452490-01-1","EPR+IMD ","EPR+IMD","1",NA,"Ethiprole SC 100","M-214951-01-1","Confidor SC 200","Confidor SC 200","M-032525-01-1",NA,NA,NA,NA,"Ratio.LD50.cont.24",2.21,"cont","24",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ethiprole + Imidacloprid",2,"EPR + IMD",0,1,0,1,0,0,0,0,0,0,0,0,0,"4A + 2B",2,0,1,1,0,0,0,0,0,0,0,"nAChR receptor agonist + GABA-A receptor",2,1,0,"INS + INS",1,0.344392273685111
"1622","Insecticide + Insecticide","OD (120+120)",TRUE,"OD150 + OD180","M-310715-01-1","SPT+TCP ","SPT+TCP","1",NA,"spirotetramat OD 150 G","M-259122-01-1","thiacloprid OD 180 G","thiacloprid OD 180 G","M-272691-01-1",NA,NA,NA,NA,"Ratio.LD50.cont.24",2.13,"cont","24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Spirotetramat + Thiacloprid",2,"SPT + TCP",0,1,0,0,0,0,0,0,0,0,0,1,0,"4A + 23",2,0,1,0,0,0,0,0,0,1,0,"nAChR receptor agonist + ACCase inhibitor (I)",2,1,0,"INS + INS",1,0.328379603438738
