CAS,CAS.y,Substance,Chem.Group,Type,Approved,Approval.Exp,Priority
58899,58-89-9,Lindane,Pest,I,N,NA,STC
7782492,7782-49-2,Selenium,Metal,,,,
72435,72-43-5,Methoxychlor,Pest,I,N,NA,
723466,723-46-6,Sulfametoxazol,Pharma,,Y,,
111988499,111988-49-9,Thiacloprid,Pest,I,N,NA,
108383,108-38-3,m-xylene,Industrial,,Y,,
32534819,32534-81-9,PBDE,Industrial,,Y,,
25637994,25637-99-4,Hexabromocyclododecane,Industrial,,Y,,
142459583,142459-58-3,Flufenacet,Pest,H,Y,,
7439932,7439-93-2,lithium,Metal,,,,
7440315,7440-31-5,tin,Metal,,,,
104405,104-40-5,4-Nonylphenol,Industrial,,Y,,
6190654,6190-65-4,Deethylatrazine,Pest,H,N,NA,
85018,85-01-8,Phenanthrene,PAH,,,,
131168,131-16-8,Di-N-propyl phthalate,Industrial,,Y,,
51218452,51218-45-2,Metolachlor,Pest,H,Y,,
33213659,33213-65-9,beta-Endosulfan,Pest,I,N,NA,STC
80057,80-05-7,Bisphenol-A,Industrial,,Y,,
330552,330-55-2,Linuron,Pest,H,N,NA,
83329,83-32-9,Acenaphthene,PAH,,,,
60515,60-51-5,Dimethoate,Pest,I,N,NA,
36643284,36643-28-4,tributyltin (kation),Metal,,,,
10605217,10605-21-7,Carbendazim,Pest,F,N,NA,
608731,608-73-1,"1,2,3,4,5,6-Hexachlorocyclohexane",Pest,I,N,NA,WFD
60207901,60207-90-1,Propiconazole,Pest,F,Y,,
94815,94-81-5,MCPB,Pest,H,Y,,
2164081,8/1/2164,lenacil,Pest,H,Y,,
298464,298-46-4,Karbamazepin,Pharma,,Y,,
34256821,34256-82-1,Acetochlor,Pest,H,N,NA,
100027,100-02-7,4-Nitrophenol,Industrial,,Y,,
1912249,1912-24-9,Atrazine,Pest,H,N,NA,WFD
88857,88-85-7,Dinoseb,Pest,H,N,NA,
57125,57-12-5,Cyanide,Metal,,,,
1071836,1071-83-6,Glyphosate,Pest,H,Y,,
2303175,2303-17-5,Tri-allate,Pest,H,Y,,
133855988,133855-98-8,epoxiconazool,Pest,F,Y,,
58082,58-08-2,Caffeine,Pharma,,Y,,
128370,128-37-0,"2,6-di-tert-butyl-p-cresol",Industrial,,Y,,
19666309,19666-30-9,Oxadiazon,Pest,H,N,NA,
534521,534-52-1,"2-Methyl-4,6-dinitrophenol",Industrial,,Y,,
15545489,15545-48-9,Chlorotoluron,Pest,H,Y,,
106423,106-42-3,p-xylene,Industrial,,Y,,
120832,120-83-2,"2,4-Dichlorophenol",Industrial,,Y,,
121142,121-14-2,"2,4-Dinitrotoluene",Industrial,,Y,,
106445,106-44-5,p-cresol,Industrial,,Y,,
218019,218-01-9,chrysene,PAH,,,,
91203,91-20-3,Naphthalene,PAH,,,,WFD
208968,208-96-8,acenaftyleen,PAH,,,,
7439987,7439-98-7,Molybdenum,Metal,,,,
95636,95-63-6,"1,2,4-Trimethylbenzene",PAH,,,,
67129082,67129-08-2,Metazachlor,Pest,H,Y,,
22204531,22204-53-1,Naproxen,Pharma,,Y,,
12002481,12002-48-1,Trichlorobenzene,Industrial,,Y,,WFD
23103982,23103-98-2,Pirimicarb,Pest,I,Y,,
86737,86-73-7,fluorene,PAH,,,,
21087649,21087-64-9,Metribuzin,Pest,H,Y,,
122349,122-34-9,Simazine,Pest,H,N,NA,WFD
37350586,37350-58-6,Metoprolol,Pharma,,Y,,
37680732,37680-73-2,"2,2',4,5,5'-Pentachloro-1,1'-biphenyl",Industrial,,Y,,
87865,87-86-5,Pentachlorphenol,Pest,I,N,NA,WFD
153719234,153719-23-4,Thiamethoxam,Pest,I,N,NA,
1763231,1763-23-1,perfluoroctaansulfonaat (PFOS),Industrial,,N,,"WFD,STC"
93721,93-72-1,Fenoprop,Pest,H,N,NA,
139139,139-13-9,Nitrilotriacetic acid,Industrial,,Y,,
95147,95-14-7,benzotriazole,Industrial,,Y,,
108952,108-95-2,Phenol,Industrial,,Y,,
51235042,51235-04-2,Hexazinone,Pest,H,N,NA,
75252,75-25-2,Tribromomethane,Industrial,,Y,,
738705,738-70-5,Trimetoprim,Pharma,,Y,,
127184,127-18-4,Tetrachloroethylene,Industrial,,Y,,
95487,95-48-7,o-cresol,Industrial,,Y,,
540590,540-59-0,"1,2-dichloroethylene",Industrial,,Y,,
67564914,67564-91-4,fenpropimorf,Pest,F,Y,,
135193,135-19-3,2-Naphthol,Industrial,,Y,,
50000,50-00-0,Formaldehyde,Industrial,,Y,,
319868,319-86-8,delta-Hexachlorocyclohexane,Pest,I,N,NA,
83164334,83164-33-4,diflufenican,Pest,H,Y,,
95476,95-47-6,o-xylene,Industrial,,Y,,
50563365,50563-36-5,Dimethachlor,Pest,H,Y,,
7287196,7287-19-6,Prometryn,Pest,H,N,NA,
105827789,105827-78-9,Imidacloprid,Pest,I,N,2020,
1066519,1066-51-9,(Aminomethyl)phosphonic acid,Pharma,,Y,,
57636,57-63-6,Ethinylestradiol,Pharma,,Y,,
120365,120-36-5,Dichlorprop,Pest,H,N,NA,
94746,94-74-6,MCPA,Pest,H,Y,,
1918009,1918-00-9,Dicamba,Pest,H,Y,,
26787780,26787-78-0,Amoxicillin,Pharma,,Y,,
526750,526-75-0,"2,3-Dimethylphenol",Industrial,,Y,,
111991094,111991-09-4,Nicosulfuron,Pest,H,Y,,
91576,91-57-6,2-Methylnaphthalene,PAH,,,,
15972608,15972-60-8,Alachlor,Pest,H,N,NA,WFD
108883,108-88-3,toluene,Industrial,,Y,,
75092,75-09-2,Dichloromethane,Industrial,,Y,,WFD
319846,319-84-6,alpha-Hexachlorocyclohexane,Pest,H,N,NA,STC
94757,94-75-7,"2,4-D",Pest,H,Y,,
67663,67-66-3,Trichloromethane,Industrial,,Y,,
1698608,1698-60-8,Chloridazon,Pest,H,N,NA,
99876,99-87-6,p-cymene,Industrial,,Y,,
1194656,1194-65-6,Dichlobenil,Pest,H,N,NA,
1330207,1330-20-7,Dimethylbenzene,Industrial,,Y,,
100414,100-41-4,ethylbenzene,Industrial,,Y,,
94826,94-82-6,"2,4-DB",Pest,H,Y,,
1702176,1702-17-6,Clopyralid,Pest,H,Y,,
319857,319-85-7,Beta-Hexachlorocyclohexane,Pest,I,N,,STC
29122687,29122-68-7,Atenolol,Pharma,,Y,,
100425,100-42-5,Styrene,Industrial,,Y,,
16484778,16484-77-8,mecoprop-p,Pest,H,Y,,
71432,71-43-2,Benzene,Industrial,,Y,,WFD
74223646,74223-64-6,Metsulfuron-methyl,Pest,H,Y,,
1634044,1634-04-4,tert-butyl methyl ether,Industrial,,Y,,
26225796,26225-79-6,Ethofumesate,Pest,H,Y,,
25057890,25057-89-0,Bentazone,Pest,H,Y,,
120821,120-82-1,"1,2,4-Trichlorobenzene",Industrial,,Y,,
90120,90-12-0,1-Methylnaphthalene,Industrial,,Y,,
93765,93-76-5,"2-(2,4,5-Trichlorophenoxy)acetic acid",Industrial,,Y,,
118741,118-74-1,Hexachlorobenzene,Industrial,,N,,"WFD,STC"
7085190,7085-19-0,MCPP Acid,Pest,H,N,NA,
79016,79-01-6,trichloroethylene,Industrial,,Y,,
124481,124-48-1,Dibromochloromethane,Industrial,,Y,,
23950585,23950-58-5,Propyzamide,Pest,H,Y,,
136856,136-85-6,4-/5-Methyl-Benzotriazol,Industrial,,Y,,
57837191,57837-19-1,Metalaxyl,Pest,F,Y,,
134623,134-62-3,"N,N-Diethyl-3-methylbenzamide",Pest,I,Y,,
139402,139-40-2,Propazine,Pest,H,N,NA,
335671,335-67-1,Pentadecafluorooctanoic acid,Industrial,,Y,,
84662,84-66-2,Diethyl phthalate,Industrial,,Y,,
70630170,70630-17-0,Metalaxyl-M,Pest,F,Y,,
75274,75-27-4,Bromodichloromethane,Industrial,,Y,,
41394052,41394-05-2,metamitron,Pest,H,Y,,
2008584,2008-58-4,"2,6-Dichlorobenzamide",Industrial,,Y,,
16672870,16672-87-0,Ethephon,Pest,F,Y,,
106898,106-89-8,(Chloromethyl)oxirane,Industrial,,Y,,
118967,118-96-7,"2,4,6-trinitrotoluene",Industrial,,Y,,
120928098,120928-09-8,Fenazaquin,Pest,I,Y,,
13194484,13194-48-4,Ethoprophos,Pest,I,N,NA,
133062,133-06-2,Captan,Pest,F,Y,,
13356086,13356-08-6,Fenbutatin oxide,Industrial,,Y,,
13684565,13684-56-5,Desmedipham,Pest,H,N,NA,
14816183,14816-18-3,Phoxim,Pest,I,N,NA,
16118493,16118-49-3,Carbetamide,Pest,H,Y,,
1689834,1689-83-4,Ioxynil,Pest,H,N,NA,
1689992,1689-99-2,Bromoxynil octanoate,Pest,H,N,NA,
1746812,1746-81-2,Monolinuron,Pest,H,N,NA,
1861401,1861-40-1,Benfluralin,Pest,H,Y,,
2212671,2212-67-1,Molinate,Pest,H,N,NA,
2385855,2385-85-5,Mirex,Pest,I,N,NA,STC
2642719,2642-71-9,Azinphosethyl,Pest,I,N,NA,
29232937,29232-93-7,Pirimiphos-Methyl,Pest,I,Y,,
298044,298-04-4,Disulfoton,Pest,I,N,NA,
299843,299-84-3,Fenchlorphos,Pest,I,N,NA,
42874033,42874-03-3,Oxyfluorfen,Pest,H,Y,,
52517,52-51-7,bronopol,Pest,F,N,NA,
542756,542-75-6,"1,3-dichloropropene",Pest,H,Y,,
563122,563-12-2,Ethion,Pest,I,N,NA,
630206,630-20-6,"1,1,1,2-Tetrachloroethane",Industrial,,Y,,
74908,74-90-8,Hydrogen cyanide,Industrial,,Y,,
75990,75-99-0,"2,2-Dichloropropanoic acid",Pest,H,N,NA,
77474,77-47-4,"1,2,3,4,5,5-Hexachloro-1,3-cyclopentadiene",Industrial,,Y,,
86500,86-50-0,Azinophosmethyl,Pest,I,N,NA,
944229,944-22-9,Fonofos,Pest,I,N,NA,
95874,95-87-4,"2,5-xylenol",Industrial,,Y,,
10265926,10265-92-6,Methamidophos,Pest,I,N,NA,
108861,108-86-1,Bromobenzene,Industrial,,Y,,
13071799,13071-79-9,Terbufos,Pest,I,N,NA,
15165670,15165-67-0,Dichlorprop-P,Pest,H,Y,,
1918134,1918-13-4,chloorthiamide,Pest,H,N,NA,
2310170,2310-17-0,Phosalone,Pest,I,N,NA,
297789,297-78-9,Telodrin,Pest,I,N,NA,
594207,594-20-7,"2,2-Dichloropropane",Industrial,,Y,,
75718,75-71-8,dichlorodifluoromethane,Industrial,,Y,,
96128,96-12-8,Nemagon,Pest,,N,NA,
96184,96-18-4,"1,2,3-Trichloropropane",Industrial,,Y,,
98066,98-06-6,tert-Butylbenzene,Industrial,,Y,,
99105778,99105-77-8,sulcotrion,Pest,H,Y,,
10061026,10061-02-6,TRANS-D,Industrial,,Y,,
1113026,1113-02-6,Omethoate,Pest,I,N,NA,
18181709,18181-70-9,Jodofenfos,Pest,I,N,NA,
1836755,1836-75-5,"2,4-Dichlorophenyl 4-nitrophenyl ether",Industrial,,Y,,
58902,58-90-2,"2,3,4,6-Tetrachlorophenol",Industrial,,Y,,
74839,74-83-9,Bromomethane,Industrial,,Y,,
74953,74-95-3,Dibromomethane,Industrial,,Y,,
919868,919-86-8,Demeton-S-methyl,Pest,I,N,NA,
10061015,10061-01-5,"(Z)-1,3-dichloropropene",Industrial,,Y,,
112410238,112410-23-8,Tebufenozide,Pest,I,Y,,
1570645,1570-64-5,4-chloro-o-cresol,Industrial,,Y,,
1610180,1610-18-0,Prometon,Pest,H,N,NA,
33693048,33693-04-8,Terbumeton,Pest,H,N,NA,
74975,74-97-5,Bromochloromethane,Industrial,,Y,,
79345,79-34-5,"1,1,2,2-tetrachloroethane",Industrial,,Y,,
106434,106-43-4,4-chlorotoluene,Industrial,,Y,,
106934,106-93-4,"1,2-Dibromoethane",Industrial,,Y,,
131113,131-11-3,dimethyl phthalate,Industrial,,Y,,
142289,142-28-9,"1,3-Dichloropropane",Industrial,,Y,,
18691979,18691-97-9,Methabenzthiazuron,Pest,H,N,NA,
21725462,21725-46-2,Cyanazine,Pest,H,N,NA,
41859670,41859-67-0,Bezafibrat,Pharma,,Y,,
59507,59-50-7,4-chloro-3-methylphenol,Pest,F,N,NA,
95498,95-49-8,2-chlorotoluene,Industrial,,Y,,
136426545,136426-54-5,Fluquinconazole,Pest,F,Y,,
26259450,26259-45-0,Secbumeton,Pest,H,N,NA,
55512339,55512-33-9,pyridaat,Pest,H,Y,,
143500,143-50-0,Kepone,Pest,I,N,NA,STC
103651,103-65-1,Propyl benzene,Industrial,,Y,,
2032657,2032-65-7,Methiocarb,Pest,I,N,NA,
82688,82-68-8,Quintozene,Pest,F,N,NA,
16752775,16752-77-5,Methomyl,Pest,I,N,NA,
52645531,52645-53-1,Permethrin,Pest,I,N,NA,
104518,104-51-8,Butylbenzene,Industrial,,Y,,
108678,108-67-8,Mesitylene,Industrial,,Y,,
115322,115-32-2,Dicofol,Pest,I,N,NA,STC
78875,78-87-5,"1,2-Dichloropropane",Industrial,,Y,,
135410207,135410-20-7,Acetamiprid,Pest,I,Y,,
5598130,5598-13-0,Chlorpyrifos-Methyl,Pest,I,N,2020,
57749,57-74-9,Chlordane,Pest,I,N,NA,STC
1014693,1014-69-3,Desmetryn,Pest,H,N,NA,
79005,79-00-5,"1,1,2-Trichloroethane",Industrial,,Y,,
98828,98-82-8,Cumene,Industrial,,Y,,
87650,87-65-0,"2,6-Dichlorophenol",Industrial,,Y,,
4901513,4901-51-3,"2,3,4,5-Tetrachlorophenol",Industrial,,Y,,
314409,314-40-9,Bromacil,Pest,H,N,NA,
75014,75-01-4,Vinyl chloride,Industrial,,Y,,
1689845,1689-84-5,Bromoxynil,Pest,H,N,NA,
95954,95-95-4,"2,4,5-Trichlorophenol",Industrial,,Y,,
124495187,124495-18-7,Quinoxyfen,Pest,F,N,NA,WFD
1024573,1024-57-3,Heptachlor epoxide,Industrial,,N,,STC
88062,88-06-2,"2,4,6-Trichlorophenol",Industrial,,Y,,
108703,108-70-3,"1,3,5-Trichlorobenzene",Industrial,,Y,,
76448,76-44-8,Chlordene,Industrial,,Y,,WFD
834128,834-12-8,ametryn,Pest,H,N,NA,
106467,106-46-7,"1,4-Dichlorobenzene",Industrial,,Y,,
75354,75-35-4,"1,1-Dichloroethene",Industrial,,Y,,
52315078,52315-07-8,Cypermethrin | Zeta-cypermethrin,Pest,I,Y,2020,WFD
56382,56-38-2,Parathion-ethyl,Pest,I,N,NA,
156605,156-60-5,"Trans-1,2-dichloroethylene",Industrial,,Y,,
541731,541-73-1,"1,3-Dichlorobenzene",Industrial,,Y,,
42576023,42576-02-3,bifenox,Pest,H,Y,,WFD
298000,298-00-0,Parathion-Methyl,Pest,I,N,NA,
95501,95-50-1,"1,2-Dichlorobenzene",Industrial,,Y,,
108907,108-90-7,Chlorobenzene,Industrial,,Y,,
71556,71-55-6,"1,1,1-trichloroethane",Industrial,,Y,,
87616,87-61-6,"1,2,3-Trichlorobenzene",Industrial,,Y,,
74070465,74070-46-5,Aclonifen,Pest,H,Y,,WFD
62737,62-73-7,Dichlorvos,Pest,I,N,NA,WFD
85535848,85535-84-8,C10-C13 Chlooralkanen,Industrial,,Y,,WFD
959988,959-98-8,alpha-Endosulfan,Pest,I,N,NA,STC
72559,72-55-9,"4,4?-DDE",Pest,I,N,NA,
87683,87-68-3,Hexachlorobutadiene,Industrial,,N,,"WFD,STC"
608935,608-93-5,"1,2,3,4,5-Pentachlorobenzene",Industrial,,N,2002,"WFD,STC"
1582098,1582-09-8,Trifluralin,Pest,H,N,NA,
56235,56-23-5,Tetrachloromethane,Industrial,,Y,,
72548,72-54-8,DDD,Pest,I,N,NA,
309002,309-00-2,Aldrin,Pest,I,N,NA,STC
107062,107-06-2,"1,2-Dichloroethane",Industrial,,Y,,WFD
60571,60-57-1,Dieldrin,Pest,I,N,NA,STC
470906,470-90-6,Chlorfenvinphos,Pest,I,N,NA,WFD
72208,72-20-8,Endrin,Pest,I,N,NA,STC
100005,100-00-5,1-Chloro-4-nitrobenzene,Industrial,,,,
149961524,49961-52-4,Dimoxystrobin,Pest,F,Y,,
38260547,38260-54-7,Etrimfos,Pest,I,N,NA,
62533,62-53-3,Aniline,Industrial,,,,
79118,79-11-8,Chloroacetic acid,Industrial,,,,
88733,88-73-3,1-Chloro-2-nitrobenzene,Industrial,,,,
98953,98-95-3,Nitrobenzene,Industrial,,,,
